Weather_Category,Accident_Count,Avg_Severity
clear,339991,2.1848813645067073
cloudy,296269,2.22492734643179
fog,19870,2.1741821841972824
other,25703,2.336497685095125
rain,53938,2.2526419222069785
snow,16386,2.244354937141462
thunderstorm,3263,2.2301562978853817
unknown,17301,2.26027397260274
windy,118,2.1779661016949152
